Iteration: 0, Loss: 0.633378
Iteration: 100, Loss: 0.0481695
Iteration: 200, Loss: 0.0496243
Iteration: 300, Loss: 0.0301601
Iteration: 400, Loss: 0.0329942
Iteration: 500, Loss: 1.78379
Iteration: 600, Loss: 0.642796
Iteration: 700, Loss: 0.049759
Iteration: 800, Loss: 0.0369988
Iteration: 900, Loss: 0.548024
Iteration: 1000, Loss: 0.0444211
Iteration: 1100, Loss: 0.0444512
Iteration: 1200, Loss: 1.2984
Iteration: 1300, Loss: 0.0333618
Iteration: 1400, Loss: 0.68693
Iteration: 1500, Loss: 0.0355026
Iteration: 1600, Loss: 0.164233
Iteration: 1700, Loss: 0.0321578
Iteration: 1800, Loss: 0.0392263
Iteration: 1900, Loss: 0.131651
Iteration: 2000, Loss: 0.0385201
Iteration: 2100, Loss: 0.04246
Iteration: 2200, Loss: 0.154001
Iteration: 2300, Loss: 0.0276452
Iteration: 2400, Loss: 0.0266947
Iteration: 2500, Loss: 0.0229099
Iteration: 2600, Loss: 0.0536251
Iteration: 2700, Loss: 0.056569
Iteration: 2800, Loss: 0.0273834
Iteration: 2900, Loss: 0.0224684
Iteration: 3000, Loss: 0.0351982
Iteration: 3100, Loss: 0.0812792
Iteration: 3200, Loss: 0.0665095
Iteration: 3300, Loss: 0.0499858
Iteration: 3400, Loss: 0.0200985
Iteration: 3500, Loss: 0.0204718
Iteration: 3600, Loss: 0.0269124
Iteration: 3700, Loss: 0.0233339
Iteration: 3800, Loss: 0.0218301
Iteration: 3900, Loss: 0.0295827
Iteration: 4000, Loss: 0.0252502
Iteration: 4100, Loss: 0.0224166
Iteration: 4200, Loss: 0.0342604
Iteration: 4300, Loss: 0.135098
Iteration: 4400, Loss: 0.0401416
Iteration: 4500, Loss: 0.0209797
Iteration: 4600, Loss: 0.0221764
Iteration: 4700, Loss: 0.0196237
Iteration: 4800, Loss: 0.0231694
Iteration: 4900, Loss: 0.0232723
Iteration: 5000, Loss: 0.0221191
Iteration: 5100, Loss: 0.0289435
Iteration: 5200, Loss: 0.0155376
Iteration: 5300, Loss: 0.0194586
Iteration: 5400, Loss: 0.0466048
Iteration: 5500, Loss: 0.0316235
Iteration: 5600, Loss: 0.0276365
Iteration: 5700, Loss: 0.0208998
Iteration: 5800, Loss: 0.0212679
Iteration: 5900, Loss: 0.0247679
Iteration: 6000, Loss: 0.0199299
Iteration: 6100, Loss: 0.0841821
Iteration: 6200, Loss: 0.0203508
Iteration: 6300, Loss: 0.0553693
Iteration: 6400, Loss: 0.0200845
Iteration: 6500, Loss: 0.0189066
Iteration: 6600, Loss: 0.0209298
Iteration: 6700, Loss: 0.0213653
Iteration: 6800, Loss: 0.0208485
Iteration: 6900, Loss: 0.0202958
Iteration: 7000, Loss: 0.0215983
Iteration: 7100, Loss: 0.0276462
Iteration: 7200, Loss: 0.0222581
Iteration: 7300, Loss: 0.0191804
Iteration: 7400, Loss: 0.017423
Iteration: 7500, Loss: 0.0198035
Iteration: 7600, Loss: 0.0414149
Iteration: 7700, Loss: 0.0215939
Iteration: 7800, Loss: 0.0178722
Iteration: 7900, Loss: 0.0393223
Iteration: 8000, Loss: 0.0333861
Iteration: 8100, Loss: 0.0160373
Iteration: 8200, Loss: 0.0212814
Iteration: 8300, Loss: 0.0168364
Iteration: 8400, Loss: 0.0176156
Iteration: 8500, Loss: 0.0221043
Iteration: 8600, Loss: 0.0160677
Iteration: 8700, Loss: 0.0188833
Iteration: 8800, Loss: 0.0231897
Iteration: 8900, Loss: 0.0215539
Iteration: 9000, Loss: 0.0181704
Iteration: 9100, Loss: 0.0457063
Iteration: 9200, Loss: 0.0238773
Iteration: 9300, Loss: 0.0276599
Iteration: 9400, Loss: 0.0189118
Iteration: 9500, Loss: 0.0204444
Iteration: 9600, Loss: 0.017422
Iteration: 9700, Loss: 0.0215684
Iteration: 9799, Loss: 0.0136871
